通信/广播,通信,广播,网络,,,,,,,,,,,,,,,,,,,,,,,,
工业电子,工业,安防,监控,报警,机器人,,,,,,,,,,,,,,,,,,,,,,
消费电子,消费,家用,家庭,家电,手机,,,,,,,,,,,,,,,,,,,,,,
医疗电子,医疗,医院,诊断,监护,护理,,,,,,,,,,,,,,,,,,,,,,
汽车电子,汽车,车身,导航,,,,,,,,,,,,,,,,,,,,,,,,
能源/新能源,智能电网,能源,能量,太阳能,,,,,,,,,,,,,,,,,,,,,,,
航空/航海/军工电子,军工,航空,航海,,,,,,,,,,,,,,,,,,,,,,,,
物联网,物联网,移动支付,RFID,,,,,,,,,,,,,,,,,,,,,,,,
计算机及周边系统,计算机,服务器,PC,办公设备,,,,,,,,,,,,,,,,,,,,,,,
工具厂商,工具,软件,Cadence,protel,EDA,,,,,,,,,,,,,,,,,,,,,,
行业服务,代理,分销,服务,高校,政府,半导体制造,,,,,,,,,,,,,,,,,,,,,
人工智能,语音识别,生物识别,人工智能,自动驾驶,无人驾驶,深度学习,机器学习,神经网络,AI,深鉴科技,科大讯飞,云天励飞,机器人,智能音箱,寒武纪,格灵深瞳,商汤,三角兽科技,思必驰,声智科技,优必选,天猫精灵,Echo,天网,智能监控,自然语言处理,机器视觉
