连接器,连接,,,,,,,,,,,,,,,
光电/显示,显示,led,光电,lcd,光纤,照明,,,,,,,,,,
通信/网络IC,通信,通讯,网络,调制器,解调器,以太网,路由,交互,变频,数字传输,编码器,解码器,,,,
开关/多路复用器,开关,,,,,,,,,,,,,,,
EDA/IP/IC/PCB设计,EDA,PCB,protel,设计,Cadence,,,,,,,,,,,
制造/封装,封装,,,,,,,,,,,,,,,
控制器/处理器/DSP,STM8,STM32,单片机,51系列,嵌入式,ARM,MSP430,DSP,Cortex,AVR,MCU,控制器,处理器,Arduino,Xilinx,电机控制
传感/MEMS,传感,sensor,,,,,,,,,,,,,,
测试测量,测试,测量,,,,,,,,,,,,,,
RF/微波,射频,RF,微波,滤波器,混频,,,,,,,,,,,
电源/电器管理,电源,充电,变压器,稳压,,,,,,,,,,,,
数字/可编程逻辑,可编程逻辑,FPGA,pld,pal,,,,,,,,,,,,
放大和线性产品,放大,线性,,,,,,,,,,,,,,
数据转换器,转换,ADC,DAC,,,,,,,,,,,,,
时钟/定时,时钟,定时,cxo,,,,,,,,,,,,,
存储,ram,rom,存储,flash,fifo,,,,,,,,,,,
接口/外设,I/O,接口,外设,rs-232,rs-485,usb,I2C,,,,,,,,,
音/视频,视频,音频,音箱,音响,语音,,,,,,,,,,,
分立/无源器件,二极管,晶闸管,MOSFET,基础器件,,,,,,,,,,,,
保护/隔离,保护,隔离,保险,电流限制,,,,,,,,,,,,
DIY,DIY,创意,,,,,,,,,,,,,,
开发板,开发板,评估,板卡,Raspberry,爱板,BeagleBone,banana pi,评测,香蕉派,树莓派,,,,,,
智能硬件,智能,可穿戴,,,,,,,,,,,,,,
